pk,model,name,kor_name
1,perfumes.note,absinthe,압생트
2,perfumes.note,acacia,아카시아
3,perfumes.note,acai berry,아사이베리
4,perfumes.note,acerola,아세로라
5,perfumes.note,acerola blossom,아세로라 블라썸
6,perfumes.note,acetyl furan,아세틸 푸란
7,perfumes.note,agarwood (oud),아갈우드
8,perfumes.note,agave,아게이브
9,perfumes.note,agave nectar,아게이브 넥타르
10,perfumes.note,aglaia,아글라이아
11,perfumes.note,akigalawood,아키갈라우드
12,perfumes.note,aldehydes,알데하이드
13,perfumes.note,alder,알더
14,perfumes.note,algae,알게
15,perfumes.note,allspice,올스파이스
16,perfumes.note,almond,아몬드
17,perfumes.note,almond blossom,아몬드 블라썸
18,perfumes.note,almond tree,아몬드 트리
19,perfumes.note,aloe vera,알로에 베라
20,perfumes.note,aluminum,알루미늄
21,perfumes.note,alumroot,앨럼루트
22,perfumes.note,alyssum,알리섬
23,perfumes.note,amaranth,아마란스
24,perfumes.note,amaretto,아마레토
25,perfumes.note,amarillys,아마릴리스
26,perfumes.note,amber,엠버
27,perfumes.note,amber xtreme,엠버 엑스트림
28,perfumes.note,ambergris,엠버그리스
29,perfumes.note,ambertonic (iff),엠버토닉
30,perfumes.note,amberwood,엠버우드
31,perfumes.note,ambrarome,엠브러로움
32,perfumes.note,ambretone,엠브레톤
33,perfumes.note,ambrette (musk mallow),엠브레트
34,perfumes.note,ambrettolide,앰브레톨라이드
35,perfumes.note,ambrocenide (symrise),앰브로케니드
36,perfumes.note,ambroxan,앰브락산
37,perfumes.note,ammophila (beach grass),애모필러
38,perfumes.note,amyl salicylate,애밀 샐슬럿
39,perfumes.note,amyris,애미리스
40,perfumes.note,anemone,아네모네
41,perfumes.note,angel's trumpet,앤젤스트럼펫
42,perfumes.note,angelica,안젤리카
43,perfumes.note,animal notes,에니멀 노츠
44,perfumes.note,anise,애너스
45,perfumes.note,apple,애플
46,perfumes.note,apple blossom,애플 플라썸
47,perfumes.note,apple juice,애플 주스
48,perfumes.note,apple mint,애플 민트
49,perfumes.note,apple pulp,애플 펄프
50,perfumes.note,apple tree,애플 트리
51,perfumes.note,apricot,애프리콧
52,perfumes.note,apricot blossom,애프리콧 플라썸
53,perfumes.note,aquozone,아쿠오존
54,perfumes.note,araucaria,아라우카리아
55,perfumes.note,"arbutus (madrona, bearberry tree)","알버투스 (마드로나, 베어베리 트리)"
56,perfumes.note,arctic bramble,아틱 브렘블
57,perfumes.note,argan,아르간
58,perfumes.note,argan tree,아르간 트리
59,perfumes.note,arnica,아르니카
60,perfumes.note,artemisia,아르테미시아
61,perfumes.note,arum lily,아룸 릴리
62,perfumes.note,asafoetida,아사포에티다
63,perfumes.note,ash,에쉬
64,perfumes.note,ashoka flower,에쇼카 플라워
65,perfumes.note,asparagus,아스파라거스
66,perfumes.note,aspen,아스펜
67,perfumes.note,asphalt,애스폴트
68,perfumes.note,aspic,애스픽
69,perfumes.note,avocado,아보카도
70,perfumes.note,azolla (water fern),아졸라 (워터 펀)
71,perfumes.note,bacon,베이컨
72,perfumes.note,baileys irish cream,베일리즈 아이리시 크림
73,perfumes.note,balsamic vinegar,발사믹 식초
74,perfumes.note,bamboo,대나무
75,perfumes.note,banana,바나나
76,perfumes.note,banana flower,바나나 플라워
77,perfumes.note,banana leaf,바나나 리프
78,perfumes.note,baobab,바오밥
79,perfumes.note,barberry,바베리
80,perfumes.note,bark,바크
81,perfumes.note,barley,발리
82,perfumes.note,basil,바질
83,perfumes.note,bay essence,베이 에센스
84,perfumes.note,bay leaf,베이 리프
85,perfumes.note,bbq,바베큐
86,perfumes.note,bearberry,베어베리
87,perfumes.note,beech,비치
88,perfumes.note,beerale,비어에일
89,perfumes.note,beeswax,비즈왁스
90,perfumes.note,beetroot,비트루트
91,perfumes.note,belambra tree,벨람브라 트리
92,perfumes.note,belladona,벨라도나
93,perfumes.note,bellflower,벨플라워
94,perfumes.note,bellini,벨리니
95,perfumes.note,benzoin,벤조인
96,perfumes.note,bergamot,베르가못
97,perfumes.note,bergamot blossom,베르가못 블라썸
98,perfumes.note,birch,버치
99,perfumes.note,birch tar,버치 타르
100,perfumes.note,biscuit,비스킷
101,perfumes.note,bitter orange,비터 오렌지
102,perfumes.note,black currant,블랙 커렌트
103,perfumes.note,black currant blossom,블랙 커렌트 블라썸
104,perfumes.note,black currant leaf,블랙 커렌트 리프
105,perfumes.note,black hemlock or tsuga,블랙 헤믈락 (수가)
106,perfumes.note,black locust,블랙 록커스트
107,perfumes.note,black spruce,블랙 스프루스
108,perfumes.note,blackberry,블랙베리
109,perfumes.note,blackberry blossom,블랙베리 블라썸
110,perfumes.note,blackberry leaf,블랙베리 리프
111,perfumes.note,blackthorn,블랙토른
112,perfumes.note,blackwood,블랙우드
113,perfumes.note,blood,블러드
114,perfumes.note,blood orange,블러드 오렌지
115,perfumes.note,blue lilies,블루 릴리즈
116,perfumes.note,blue margarita,블루 마르가리타
117,perfumes.note,blue poppy,블루 포피
118,perfumes.note,blueberry,블루베리
119,perfumes.note,boisiris,보이사이러스
120,perfumes.note,borage,보어러지
121,perfumes.note,borneol,보어네올
122,perfumes.note,boronia,볼로니아
123,perfumes.note,bougainvillea,부게인빌리어
124,perfumes.note,bourbon whiskey,버본 위스키
125,perfumes.note,boysenberry,보이센베리
126,perfumes.note,bran,브란
127,perfumes.note,brazil nut,브라질 넛
128,perfumes.note,brazilian rosewood,브라질리안 로즈우드
129,perfumes.note,bread,브레드
130,perfumes.note,bread flower,브레드 플라워
131,perfumes.note,breu-branco,브루-브란코
132,perfumes.note,brick,브릭
133,perfumes.note,brioche,브리오슈
134,perfumes.note,bromelia,브로멜리아
